,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,5994,Shiba Inu,SHIB,shiba-inu,806,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,5.89289E+14,5.89534E+14,FALSE,,11,,,,2024-05-09T06:02:00.000Z,2.30E-05,399626636.9,4.6996,0.43802537,-0.22445353,5.25624219,-20.37031253,-34.84514012,145.8964338,13526818968,0.5924,13532435365,,2024-05-09T06:02:00.000Z,1027,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,04:34.7
11,5805,Avalanche,AVAX,avalanche,719,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719,380615014.3,439304654.3,FALSE,,12,,,,2024-05-09T06:02:00.000Z,34.41221779,397443674.6,11.4933,0.44656343,-1.03641782,5.47641384,-29.98181756,-20.80042618,-4.29929201,13097806766,0.5735,24630500801,,2024-05-09T06:02:00.000Z,,,,,,04:34.7
12,1958,TRON,TRX,tron,972,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87501547841,87501555954,TRUE,,13,71659659264,8902244636,,2024-05-09T06:02:00.000Z,0.124229514,348417763.1,-0.4781,0.19421019,2.33076824,2.04608199,1.37735976,-8.71858207,1.54683532,10870274753,0.476,10870275761,,2024-05-09T06:02:00.000Z,,,,,,04:34.7
13,6636,Polkadot,DOT,polkadot-new,756,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431,1437953431,TRUE,,14,1442956144,10133910693,,2024-05-09T06:03:00.000Z,7.023020578,186435462.7,7.7812,-0.04148248,-0.50475242,1.74426117,-22.5131576,-32.74445534,-0.86084159,10098776539,0.4423,10098776539,,2024-05-09T06:03:00.000Z,,,,,,04:34.7
14,1831,Bitcoin Cash,BCH,bitcoin-cash,883,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000,19703203.13,19703203.13,FALSE,,15,,,,2024-05-09T06:02:00.000Z,453.5158362,327622444,-15.6192,0.22127858,-2.2521679,9.25539194,-33.20000297,2.6714409,83.53047567,8935714641,0.3912,9523832560,,2024-05-09T06:02:00.000Z,,,,,,04:34.7
0,1,Bitcoin,BTC,bitcoin,11026,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000,19695781,19695781,FALSE,,1,,,,2024-05-09T06:05:00.000Z,61625.91687,24974075677,-0.7491,0.17944662,-1.64838743,7.28980985,-13.36497402,-11.2859589,33.34387171,1.21377E+12,53.1541,1.29414E+12,,2024-05-09T06:05:00.000Z,,,,,,05:45.2
1,1027,Ethereum,ETH,ethereum,8905,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120105242.7,120105242.7,TRUE,,2,,,,2024-05-09T06:04:00.000Z,3004.82188,11363671038,-0.2032,0.41549952,-0.75962489,3.24241751,-18.64924201,-23.81564432,22.60247107,3.60895E+11,15.8054,3.60895E+11,,2024-05-09T06:04:00.000Z,,,,,,05:45.2
2,825,Tether USDt,USDT,tether,84947,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,1.10956E+11,1.13087E+11,TRUE,,3,,,,2024-05-09T06:04:00.000Z,0.999485943,45548263000,1.8522,-0.00186755,-0.0371559,0.03877052,-0.04422241,-0.2441695,-0.042931,1.10899E+11,4.8568,1.13028E+11,,2024-05-09T06:04:00.000Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,05:45.2
3,1839,BNB,BNB,bnb,2154,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147587103.3,147587103.3,FALSE,,4,,,,2024-05-09T06:04:00.000Z,599.4374286,1739903022,11.8033,0.703871,2.39245911,9.50310858,2.60289583,21.35968651,86.89223113,88469233666,3.8735,88469233666,,2024-05-09T06:04:00.000Z,,,,,,05:45.2
4,5426,Solana,SOL,solana,657,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,448142242,575542997.1,TRUE,,5,,,,2024-05-09T06:04:00.000Z,144.6662875,2423462117,-3.2816,0.52250523,-2.25497443,11.75872521,-18.89664487,-2.07899273,37.86140422,64831074443,2.8392,83261668723,,2024-05-09T06:04:00.000Z,,,,,,05:45.2
5,3408,USDC,USDC,usd-coin,18983,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33088064924,33088064924,FALSE,,6,,,,2024-05-09T06:04:00.000Z,0.999987956,5258693788,-2.4746,0.0048851,0.00582594,-0.00352797,0.00609469,0.00964198,-0.0049406,33087666413,1.4487,33087666413,,2024-05-09T06:04:00.000Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,05:45.2
6,52,XRP,XRP,xrp,1314,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",1E+11,55359176420,99987633657,FALSE,,7,,,,2024-05-09T06:05:00.000Z,0.52234604,1015817083,-11.9249,0.26958238,0.10728499,2.18780022,-15.26728734,-16.17177062,1.0986006,28916646564,1.2663,52234603970,,2024-05-09T06:05:00.000Z,,,,,,05:45.2
7,74,Dogecoin,DOGE,dogecoin,963,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,1.44215E+11,1.44215E+11,TRUE,,8,,,,2024-05-09T06:05:00.000Z,0.147965255,1134839210,5.6172,0.43433322,-1.40952899,17.59996118,-26.08804582,-16.34559402,83.47570205,21338841306,0.9343,21338841306,,2024-05-09T06:05:00.000Z,,,,,,05:45.2
8,11419,Toncoin,TON,toncoin,312,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3473431002,5106350278,TRUE,,9,3414166606,20245073080,,2024-05-09T06:04:00.000Z,5.929726172,200244359.3,15.9036,0.42437794,2.76546871,25.43096482,-12.80714909,107.4028775,186.7763434,20596494721,0.902,30279258890,,2024-05-09T06:04:00.000Z,,,,,,05:45.2
9,2010,Cardano,ADA,cardano,1163,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000,35661664511,36855324087,FALSE,,10,,,,2024-05-09T06:04:00.000Z,0.458954224,521298406.7,76.6652,-0.23339617,3.73140221,3.39559456,-25.04501423,-37.47339881,-14.69454115,16367071566,0.7168,20652940085,,2024-05-09T06:04:00.000Z,,,,,,05:45.2
10,5994,Shiba Inu,SHIB,shiba-inu,806,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,5.89289E+14,5.89534E+14,FALSE,,11,,,,2024-05-09T06:04:00.000Z,2.30E-05,397383297.2,4.2275,0.46660366,-0.3067732,5.35840846,-20.38824649,-34.65486485,146.1276385,13534590471,0.5927,13540210095,,2024-05-09T06:04:00.000Z,1027,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,05:45.2
11,5805,Avalanche,AVAX,avalanche,719,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719,380615014.3,439304654.3,FALSE,,12,,,,2024-05-09T06:04:00.000Z,34.42818588,396579710.2,11.3223,0.46950383,-1.15628951,5.53068539,-29.9820516,-20.7222551,-4.18571966,13103884459,0.5737,24641929939,,2024-05-09T06:04:00.000Z,,,,,,05:45.2
12,1958,TRON,TRX,tron,972,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87501547841,87501555954,TRUE,,13,71659659264,8902879070,,2024-05-09T06:04:00.000Z,0.124238367,348338296.6,-0.2384,0.16507538,2.33746271,1.89343324,1.37265045,-8.69707082,1.56439573,10871049442,0.4761,10871050450,,2024-05-09T06:04:00.000Z,,,,,,05:45.2
13,6636,Polkadot,DOT,polkadot-new,756,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431,1437953431,TRUE,,14,1442956144,10128964420,,2024-05-09T06:05:00.000Z,7.019592704,186274868.7,7.6791,-0.09996555,-0.67203795,1.60125529,-22.57566022,-32.78019321,-0.82720093,10093847416,0.442,10093847416,,2024-05-09T06:05:00.000Z,,,,,,05:45.2
14,1831,Bitcoin Cash,BCH,bitcoin-cash,883,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000,19703203.13,19703203.13,FALSE,,15,,,,2024-05-09T06:04:00.000Z,453.3835997,326790932.7,-15.5267,0.17876716,-2.32557594,9.21127831,-33.17487552,2.72874719,83.5091304,8933109158,0.3911,9521055593,,2024-05-09T06:04:00.000Z,,,,,,05:45.2
0,1,Bitcoin,BTC,bitcoin,11026,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000,19695781,19695781,FALSE,,1,,,,2024-05-09T07:01:00.000Z,61591.57248,24552693401,-3.6181,0.01045618,-1.40780363,6.90634689,-13.00027203,-11.30570043,33.31625282,1.21309E+12,53.1523,1.29342E+12,,2024-05-09T07:01:00.000Z,,,,,,02:11.0
1,1027,Ethereum,ETH,ethereum,8905,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120105242.7,120105242.7,TRUE,,2,,,,2024-05-09T07:00:00.000Z,2999.79642,11119873492,-4.5575,-0.16407352,-0.49202409,2.98750575,-17.63392374,-24.05567792,22.52066519,3.60291E+11,15.7849,3.60291E+11,,2024-05-09T07:00:00.000Z,,,,,,02:11.0
2,825,Tether USDt,USDT,tether,84947,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,1.10956E+11,1.13087E+11,TRUE,,3,,,,2024-05-09T07:00:00.000Z,0.999544213,44918305356,-1.25,-0.05951879,-0.02714237,0.0201894,-0.06837424,-0.2211047,-0.03079868,1.10905E+11,4.8589,1.13035E+11,,2024-05-09T07:00:00.000Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,02:11.0
3,1839,BNB,BNB,bnb,2154,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147587103.3,147587103.3,FALSE,,4,,,,2024-05-09T07:00:00.000Z,600.0221025,1792004885,13.9711,0.32330975,2.61387196,9.53999923,3.22698903,21.21967648,86.14293855,88555523999,3.8771,88555523999,,2024-05-09T07:00:00.000Z,,,,,,02:11.0
4,5426,Solana,SOL,solana,657,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,448142242,575542997.1,TRUE,,5,,,,2024-05-09T07:00:00.000Z,144.809728,2299313570,-12.8679,0.20092367,-1.91879867,11.65923533,-17.80254203,-1.78687446,38.19081698,64895356167,2.8431,83344224868,,2024-05-09T07:00:00.000Z,,,,,,02:11.0
5,3408,USDC,USDC,usd-coin,18983,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33088064924,33088064924,FALSE,,6,,,,2024-05-09T07:00:00.000Z,1.000001938,5162476789,-5.4774,-0.06147225,0.00270913,-0.01141581,0.01422828,-0.00295712,0.00292497,33088129050,1.4486,33088129050,,2024-05-09T07:00:00.000Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,02:11.0
6,52,XRP,XRP,xrp,1314,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",1E+11,55359176420,99987633657,FALSE,,7,,,,2024-05-09T07:01:00.000Z,0.519894285,1010466160,-12.0084,-0.45087965,-0.01897103,2.1998102,-15.78225852,-16.80217564,0.58802343,28780919459,1.261,51989428529,,2024-05-09T07:01:00.000Z,,,,,,02:11.0
7,74,Dogecoin,DOGE,dogecoin,963,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,1.44215E+11,1.44215E+11,TRUE,,8,,,,2024-05-09T07:01:00.000Z,0.147428593,1113914793,0.9956,-0.27111119,-1.20386434,16.58258866,-25.61323384,-17.02415442,82.81229902,21261446401,0.9309,21261446401,,2024-05-09T07:01:00.000Z,,,,,,02:11.0
